Type,R,Mana cost,Mana value,P,T,L,Price (USD),Watermark,Color
Enchantment — Aura,C,{2}{G},3,,,,0.05,,G
Instant,U,{1}{U},2,,,,0.12,,U
Instant,C,{U},1,,,,0.07,,U
Creature — Vampire,U,{2}{B}{B},4,2,2,,0.08,,B
Creature — Wurm,C,{5}{G},6,5,6,,0.03,,G
Creature — Zombie,R,{2}{B}{B}{B},5,5,4,,1.65,,B
Instant,R,{U},1,,,,6.1,,U
Creature — Dragon,U,{4}{R}{R},6,4,4,,0.06,,R
Creature — Wall,C,{1}{R},2,4,1,,0.04,,R
Creature — Zombie,C,{2}{B},3,3,2,,0.03,,B
Enchantment,R,{5}{R},6,,,,0.48,,R
Artifact — Equipment,R,{5},5,,,,1.7,,
Instant,C,{B},1,,,,0.02,,B
Artifact,U,{2},2,,,,0.19,,
Creature — Zombie Giant,C,{4}{B},5,4,3,,0.03,,B
Enchantment,U,{1}{B},2,,,,0.11,,B
Creature — Ooze,U,{3}{G}{G},5,2,2,,0.11,,G
Legendary Planeswalker — Ajani,M,{1}{W}{W},3,,,4,3.12,,W
Creature — Cat Cleric,C,{W}{W},2,2,2,,0.17,,W
Legendary Artifact,M,{7},7,,,,13.98,,
Enchantment,U,{3}{W},4,,,,0.11,,W
Instant,C,{2}{W}{W},4,,,,0.04,,W
Creature — Elf Druid,C,{G},1,1,1,,0.34,,G
Creature — Human Wizard,C,{2}{U}{U},4,1,2,,0.23,,U
Creature — Bird Wizard,U,{2}{U},3,2,1,,0.08,,WU
Creature — Goblin Rogue,U,{2}{R},3,1,1,,0.24,,R
Creature — Human Knight,C,{2}{W},3,2,2,,0.09,,W
Creature — Merfolk Wizard,U,{1}{U},2,1,3,,0.19,,U
Creature — Bird Soldier,C,{1}{W},2,1,1,,0.11,,W
Enchantment,R,{3}{U}{U},5,,,,0.18,,U
Creature — Bird,C,{4}{W},5,2,2,,0.06,,W
Creature — Boar,C,{3}{R},4,3,2,,0.02,,R
Enchantment,U,{3}{B},4,,,,0.2,,B
Creature — Bat,C,{3}{B},4,2,2,,0.04,,B
Creature — Vampire,C,{1}{B},2,1,1,,0.11,,B
Creature — Insect,C,{G},1,0,1,,0.12,,G
Sorcery,R,{6}{G},7,,,,2.13,,G
Sorcery,C,{4}{G},5,,,,0.06,,G
Creature — Minotaur Warrior,C,{3}{R},4,3,3,,0.01,,R
Creature — Human Soldier,R,{4}{W}{W},6,3,3,,0.5,,W
Sorcery,C,{3}{W},4,,,,0.09,,W
Land,R,,0,,,,2.57,,
Creature — Centaur Warrior,C,{2}{G},3,3,3,,0.01,,G
Legendary Planeswalker — Chandra,M,{3}{R},4,,,3,1.76,,R
Instant,C,{4}{R},5,,,,0.05,,R
Artifact Creature — Golem,U,{1},1,1,1,,0.08,,
Sorcery,U,{4}{R},5,,,,0.09,,R
Artifact,U,{4},4,,,,1.34,,
Creature — Shapeshifter,R,{3}{U},4,0,0,,0.3,,U
Creature — Human Wizard,U,{2}{U},3,1,1,,0.13,,U
Instant,U,{1}{B}{B},3,,,,0.08,,B
Sorcery,C,{3}{R},4,,,,0.07,,R
Creature — Lizard,U,{1}{R},2,2,1,,0.03,,BR
Enchantment — Aura,C,{B},1,,,,0.02,,B
Creature — Human Soldier,U,{2}{W},3,*,*,,0.07,,W
Enchantment — Aura,C,{1}{B},2,,,,0.02,,B
Creature — Spider,C,{1}{G},2,1,2,,0.17,,G
Sorcery,R,{X}{3}{B}{B},5,,,,0.94,,B
Creature — Human Wizard,R,{3}{B},4,2,1,,0.27,,B
Sorcery,C,{B},1,,,,0.08,,B
Sorcery,C,{2}{U},3,,,,0.03,,U
Enchantment — Aura,C,{1}{W},2,,,,0.04,,W
Instant,C,{3}{W},4,,,,0.08,,W
Artifact,R,{5},5,,,,1.58,,WUBGR
Instant,C,{1}{U},2,,,,0.06,,U
Creature — Dragon,C,{1}{R},2,0,1,,0.1,,R
Land,R,,0,,,,3.72,,BR
Land,R,,0,,,,5.01,,UB
Sorcery,C,{B},1,,,,0.06,,B
Creature — Wurm,U,{5}{G}{G},7,7,7,,0.1,,G
Creature — Vampire Rogue,U,{3}{B},4,2,2,,0.08,,B
Creature — Skeleton,C,{B},1,0,2,,0.11,,B
Creature — Wurm,M,{4}{G}{G}{G},7,7,7,,3.19,,G
Artifact,U,{1},1,,,,0.47,,
Creature — Elf Druid,R,{1}{G}{G},3,2,2,,1.04,,G
Creature — Elf Shaman,C,{1}{G},2,1,1,,0.08,,G
Enchantment — Aura,C,{1}{U}{U},3,,,,0.04,,U
Instant,C,{W},1,,,,0.12,,W
Sorcery,C,{4}{B},5,,,,0.05,,B
Instant,C,{1}{U},2,,,,0.05,,U
Land,C,,0,,,,0.1,,
Creature — Faerie Rogue,C,{4}{U},5,3,3,,0.05,,U
Instant,R,{3}{W},4,,,,2.15,,W
Sorcery,C,{1}{G},2,,,,1.53,,G
Enchantment,R,{2}{R},3,,,,5.31,,R
Creature — Elemental,C,{3}{R}{R},5,5,4,,0.02,,R
Creature — Phoenix,R,{3}{R},4,4,2,,0.22,,R
Sorcery,U,{2}{R},3,,,,0.03,,R
Creature — Boar,U,{1}{G},2,2,2,,0.21,,GR
Instant,C,{G},1,,,,0.16,,G
Creature — Wall,U,{1}{U},2,0,2,,0.25,,U
Basic Land — Forest,C,,0,,,,0.06,,
Sorcery,U,{3}{G},4,,,,0.29,,G
Creature — Dragon,U,{2}{R}{R},4,2,2,,0.06,,R
Legendary Planeswalker — Garruk,M,{2}{G}{G}{G},5,,,3,1.47,,G
Creature — Beast,U,{4}{G},5,4,4,,0.21,,G
Artifact,U,{3},3,,,,0.19,,
Creature — Scorpion,C,{2}{B},3,1,3,,0.04,,B
Artifact,R,{5},5,,,,4.36,,
Land,R,,0,,,,3.27,,WU
Instant,C,{1}{W},2,,,,0.04,,W
Creature — Goblin Shaman,C,{R},1,1,1,,0.07,,R
Creature — Goblin,C,{3}{R},4,2,2,,0.12,,R
Creature — Griffin,C,{3}{W},4,2,3,,0.02,,W
Enchantment,R,{1}{G},2,,,,0.25,,G
Creature — Cat,C,{4}{W},5,1,6,,0.08,,W
Creature — Human Soldier,C,{2}{W},3,0,4,,0.05,,W
Creature — Giant Warrior,R,{6}{R},7,6,6,,0.18,,R
Creature — Human Rogue,U,{2}{B},3,2,2,,0.08,,UB
Creature — Serpent,C,{4}{U}{U},6,5,5,,0.06,,U
Creature — Cat Cleric,U,{3}{W},4,2,3,,0.19,,W
Land,R,,0,,,,0.16,,R
Instant,C,{U},1,,,,0.01,,U
Sorcery,C,{U},1,,,,0.09,,U
Creature — Human Soldier,R,{2}{W},3,1,1,,0.9,,W
Basic Land — Island,C,,0,,,,0.07,,
Legendary Planeswalker — Jace,M,{3}{U}{U},5,,,4,6.9,,U
Creature — Illusion,U,{U},1,1,1,,0.24,,U
Artifact,U,{4},4,,,,0.05,,
Instant,C,{R},1,,,,0.05,,R
Artifact — Equipment,U,{2},2,,,,0.05,,
Creature — Human Knight,U,{1}{W},2,2,1,,0.23,,W
Creature — Human Knight,U,{1}{B},2,2,1,,0.11,,B
Creature — Kraken,C,{U},1,0,4,,0.07,,U
Legendary Creature — Goblin Warrior,R,{2}{R}{R},4,3,3,,5.77,,R
Sorcery,C,{1}{R},2,,,,0.25,,R
Legendary Planeswalker — Liliana,M,{2}{B}{B},4,,,3,16.44,,B
Creature — Shade,C,{2}{B}{B},4,1,1,,0.08,,B
Instant,R,{X}{R}{R},2,,,,0.17,,R
Sorcery,U,{2}{R},3,,,,0.12,,R
Enchantment — Aura,C,{3}{B},4,,,,0.03,,B
Creature — Merfolk,R,{U}{U},2,2,2,,4.67,,U
Creature — Merfolk,C,{U},1,1,1,,0.04,,U
Sorcery,C,{2}{B},3,,,,0.02,,B
Sorcery,C,{1}{U},2,,,,0.19,,U
Creature — Viashino Shaman,U,{4}{R},5,2,2,,0.26,,R
Creature — Goblin,C,{1}{R},2,3,3,,0.02,,R
Basic Land — Mountain,C,,0,,,,0.06,,
Instant,C,{1}{B}{B},3,,,,0.13,,B
Sorcery,R,{2}{B}{B},4,,,,1.88,,B
Creature — Human Scout,U,{1}{G}{G},3,2,1,,0.19,,G
Instant,C,{1}{G},2,,,,0.05,,G
Legendary Creature — Demon,R,{4}{B}{B},6,5,5,,0.58,,B
Instant,C,{1}{U},2,,,,0.1,,U
Legendary Planeswalker — Bolas,M,{4}{U}{B}{B}{R},8,,,5,3.42,,UBR
Enchantment,U,{2}{W},3,,,,0.23,,W
Legendary Creature — Human Soldier,R,{2}{W}{W},4,3,4,,0.4,,W
Enchantment,M,{7}{U}{U}{U},10,,,,11.09,,U
Enchantment — Aura,C,{1}{W},2,,,,0.03,,W
Creature — Zombie,R,{B}{B}{B},3,5,5,,0.17,,B
Artifact Creature — Phyrexian Golem,U,{6},6,5,4,,0.03,,
Creature — Ox,C,{3}{W},4,2,4,,0.1,,W
Basic Land — Plains,C,,0,,,,0.08,,
Sorcery,R,{3}{W}{W}{W},6,,,,0.25,,W
Instant,C,{1}{G},2,,,,0.03,,G
Sorcery,R,{3}{G}{G},5,,,,0.24,,G
Sorcery,C,{G},1,,,,0.07,,G
Artifact Creature — Shapeshifter,U,{4},4,*,*,,0.07,,
Creature — Beast,C,{3}{G},4,3,3,,0.09,,G
Creature — Hydra,M,{X}{G}{G},2,0,0,,12.96,,G
Creature — Elephant,U,{3}{W},4,3,3,,0.07,,GW
Instant,U,{5}{B},6,,,,0.05,,B
Creature — Dryad,R,{1}{G},2,1,1,,0.2,,G
Instant,U,{W},1,,,,0.05,,W
Enchantment — Aura,U,{G},1,,,,0.92,,G
Sorcery,C,{3}{G},4,,,,0.2,,G
Creature — Rat,C,{1}{B},2,1,1,,0.09,,B
Creature — Ogre Warrior,C,{2}{R},3,3,1,,0.07,,R
Instant,R,{U}{U},2,,,,0.25,,U
Land,U,,0,,,,3.17,,
Instant,R,{R}{R},2,,,,2.11,,R
Sorcery,U,{1}{G},2,,,,0.1,,G
Instant,U,{2}{U}{U},4,,,,0.27,,U
Creature — Rhino Monk,R,{3}{W},4,1,5,,3.53,,W
Artifact — Equipment,U,{2},2,,,,0.2,,
Artifact — Equipment,U,{2},2,,,,0.33,,
Artifact — Equipment,U,{2},2,,,,0.11,,
Artifact — Equipment,U,{2},2,,,,0.15,,
Artifact — Equipment,U,{2},2,,,,0.27,,
Sorcery,U,{4}{B},5,,,,0.07,,B
Creature — Beast,U,{3}{G},4,4,4,,0.04,,G
Land,R,,0,,,,3.58,,GR
Creature — Goblin Rogue,C,{2}{R},3,1,1,,0.12,,R
Instant,C,{2}{W},3,,,,0.05,,W
Artifact,R,{3},3,,,,0.56,,
Creature — Merfolk Rogue,C,{2}{U},3,1,3,,0.04,,U
Instant,C,{1}{R},2,,,,0.13,,R
Creature — Spider,C,{3}{G}{G},5,4,4,,0.05,,G
Instant,C,{2}{G},3,,,,0.04,,G
Creature — Angel,U,{3}{W}{W},5,4,4,,0.09,,W
Creature — Avatar,M,{4}{W}{W}{W},7,*,*,,0.49,,W
Creature — Angel,R,{W}{W},2,3,3,,0.52,,W
Creature — Human Cleric,C,{2}{B},3,3,1,,0.06,,B
Creature — Specter,R,{2}{B}{B},4,2,2,,0.12,,B
Instant,C,{1}{W},2,,,,0.05,,W
Sorcery,C,{B}{B},2,,,,0.27,,B
Creature — Spider,R,{3}{G}{G},5,2,7,,0.31,,G
Creature — Cat,C,{1}{W},2,2,2,,0.03,,W
Sorcery,U,{2}{U}{U},4,,,,0.14,,U
Creature — Dragon,R,{R},1,3,3,,2.84,,R
Instant,C,{R},1,,,,0.05,,R
Sorcery,R,{5}{U},6,,,,0.29,,U
Creature — Sphinx,R,{5}{U}{U},7,5,6,,0.07,,U
Creature — Beast,C,{3}{G},4,4,2,,0.02,,G
Artifact,R,{6},6,,,,1.38,,
Creature — Leviathan,R,{5}{U}{U}{U},8,8,8,,0.27,,U
Artifact Creature — Construct,R,{5},5,0,1,,1.34,,
Creature — Angel,M,{2}{W}{W},4,4,3,,3.32,,W
Land,R,,0,,,,3.79,,GW
Basic Land — Swamp,C,,0,,,,0.15,,
Sorcery,U,{4}{U},5,,,,0.08,,U
Legendary Creature — Merfolk Wizard,R,{2}{U}{U},4,2,2,,0.42,,U
Sorcery,U,{2}{U}{U},4,,,,0.06,,U
Creature — Beast,R,{4}{G},5,5,3,,0.28,,G
Creature — Dragon,M,{3}{R}{R},5,5,5,,4.17,,R
Creature — Wolf,C,{1}{G},2,2,2,,0.07,,G
Instant,C,{1}{G},2,,,,0.06,,G
Creature — Devil,U,{1}{R},2,2,1,,0.07,,R
Creature — Spirit,C,{B},1,1,1,,0.19,,B
Artifact,U,{0},0,,,,0.3,,
Enchantment,R,{5}{W}{W},7,,,,0.12,,W
Artifact,R,{4},4,,,,0.7,,
Enchantment — Aura,C,{3}{U},4,,,,0.08,,U
Instant,C,{2}{R},3,,,,0.04,,R
Sorcery,C,{3}{R}{R},5,,,,0.02,,R
Instant,C,{U},1,,,,0.06,,U
Creature — Vampire Shaman,U,{1}{B}{B},3,2,3,,0.23,,B
Creature — Vampire,M,{1}{B}{B}{B},4,3,3,,6.42,,B
Creature — Wurm,C,{5}{G},6,5,6,,0.03,,G
Creature — Vedalken Wizard,C,{3}{U},4,1,4,,0.02,,U
Creature — Zombie,U,{4}{B},5,4,1,,0.09,,B
Instant,C,{B},1,,,,0.06,,B
Creature — Elemental,R,{1}{U},2,2,1,,0.2,,U
Instant,U,{X}{R}{R},2,,,,0.03,,R
Enchantment — Aura,C,{1}{R},2,,,,0.06,,R
Creature — Zombie,C,{1}{B},2,2,2,,0.03,,B
Creature — Wall,C,{1}{R}{R},3,0,5,,0.06,,R
Creature — Bird,C,{W},1,2,1,,0.07,,W
Creature — Human Cleric,U,{1}{W},2,2,2,,0.12,,W
Creature — Dog,C,{W},1,1,1,,0.08,,W
Creature — Elemental,C,{2}{U},3,2,3,,0.03,,U
Creature — Bird,C,{1}{U},2,2,1,,0.03,,U
Sorcery,C,{R}{R},2,,,,0.17,,R
Creature — Drake,C,{2}{U},3,2,2,,0.05,,U
Sorcery,R,{5}{B}{B},7,,,,0.21,,B
Sorcery,M,{6}{R}{R}{R},9,,,,5.31,,R
Creature — Gorgon,R,{5}{B},6,3,6,,0.21,,B
Legendary Creature — Elf Shaman,R,{2}{G}{G},4,4,4,,1.72,,G
Creature — Elf Shaman,C,{2}{G},3,2,2,,0.03,,G
Creature — Zombie Giant,C,{4}{B},5,4,3,,0.03,,B
Creature — Human Warrior,C,{2}{R},3,1,1,,0.08,,R
Artifact — Equipment,U,{0},0,,,,0.13,,
Creature — Spirit,C,{3}{B},4,3,2,,0.02,,B
Sorcery,C,{2}{R},3,,,,0.03,,R
Creature — Elf Shaman,C,{2}{G},3,2,3,,0.06,,G
Creature — Elemental,U,{4}{U},5,4,3,,0.02,,U
Legendary Planeswalker — Ajani,M,{1}{W}{W},3,,,4,4.45,,W
Creature — Cat Soldier,R,{2}{W}{W},4,3,3,,2.13,,W
Instant,C,{1}{B},2,,,,0.17,,B
Enchantment,U,{3}{W},4,,,,1.02,,W
Creature — Wall,C,{1}{W},2,0,4,,0.11,,W
Creature — Human Wizard,C,{2}{U}{U},4,1,2,,0.24,,U
Creature — Angel,M,{3}{W}{W},5,3,4,,23.06,,W
Creature — Crab,C,{4}{U},5,2,5,,0.03,,U
Enchantment — Aura,U,{B},1,,,,0.08,,B
Creature — Human Wizard,C,{2}{W},3,2,2,,0.08,,W
Enchantment — Aura,R,{1}{R}{R}{R},4,,,,0.23,,R
Creature — Human Cleric,U,{1}{W}{W},3,2,2,,0.07,,W
Enchantment,U,{R},1,,,,0.13,,R
Creature — Sliver,U,{4}{R},5,3,3,,0.25,,R
Enchantment — Aura,U,{W}{W},2,,,,0.07,,W
Creature — Human Wizard,U,{3}{B},4,2,3,,0.09,,B
Creature — Vampire,C,{2}{B},3,2,2,,0.09,,B
Creature — Sliver,C,{2}{R},3,2,2,,0.24,,R
Creature — Human Wizard,R,{3}{B},4,1,3,,0.15,,B
Creature — Sliver,R,{3}{W},4,2,2,,7,,W
Sorcery,U,{2}{G}{G},4,,,,0.1,,G
Instant,U,{W},1,,,,0.93,,W
Creature — Wolf,U,{3}{G},4,3,3,,0.06,,G
Creature — Boar,C,{2}{G},3,2,2,,0.03,,G
Artifact,U,{2},2,,,,0.11,,
Enchantment,R,{3}{R},4,,,,2.09,,R
Instant,C,{1}{U}{U},3,,,,0.05,,U
Creature — Minotaur Warrior,C,{3}{R},4,3,3,,0.03,,R
Creature — Human Knight,C,{1}{W},2,1,1,,0.05,,W
Instant,C,{W}{W},2,,,,0.1,,W
Legendary Planeswalker — Chandra,M,{2}{R}{R},4,,,4,0.75,,R
Instant,C,{2}{R}{R},4,,,,0.03,,R
Creature — Phoenix,R,{1}{R}{R},3,2,2,,0.23,,R
Creature — Griffin,C,{3}{W},4,2,2,,0.02,,W
Creature — Vampire,C,{1}{B},2,2,1,,0.06,,B
Enchantment — Aura,C,{1}{U}{U},3,,,,0.03,,U
Creature — Shapeshifter,R,{3}{U},4,0,0,,0.28,,U
Creature — Whale,R,{5}{U}{U},7,5,5,,0.24,,U
Instant,U,{3}{W},4,,,,0.1,,W
Creature — Merfolk,C,{1}{U},2,2,1,,0.02,,U
Creature — Human Rogue,C,{1}{B},2,2,1,,0.03,,B
Sorcery,U,{5}{B},6,,,,0.08,,B
Creature — Cyclops,C,{5}{R},6,3,4,,0.12,,R
Enchantment — Aura,C,{1}{B},2,,,,0.05,,B
Enchantment,R,{B}{B}{B},3,,,,3.17,,B
Artifact,M,{9},9,,,,24.56,,
Artifact,U,{3},3,,,,0.28,,
Creature — Human Knight,C,{3}{W}{W},5,2,4,,0.04,,W
Creature — Spider,C,{1}{G},2,1,2,,0.12,,G
Creature — Cockatrice,C,{2}{B}{B},4,2,2,,0.09,,B
Sorcery,C,{3}{R},4,,,,0.03,,R
Sorcery,M,{6}{W},7,,,,2.41,,W
Sorcery,U,{2}{B}{B},4,,,,0.84,,B
Enchantment,R,{6}{U},7,,,,1.21,,U
Instant,C,{1}{U},2,,,,0.04,,U
Sorcery,C,{2}{U},3,,,,0.03,,U
Enchantment — Aura,C,{1}{W},2,,,,0.04,,W
Enchantment — Aura,R,{2}{U}{U},4,,,,0.13,,U
Instant,U,{1}{B},2,,,,0.22,,B
Artifact,R,{4},4,,,,12.76,,
Creature — Dragon Egg,U,{2}{R},3,0,2,,0.11,,R
Creature — Dragon,C,{1}{R},2,0,1,,0.06,,R
Sorcery,C,{B},1,,,,0.06,,B
Creature — Human Wizard,R,{3}{U},4,1,1,,0.37,,U
Artifact,U,{1},1,,,,0.71,,
Creature — Elf Druid,C,{G},1,1,1,,0.32,,G
Land,U,,0,,,,0.15,,
Sorcery,U,{3}{G}{G},5,,,,0.13,,G
Instant,C,{1}{U},2,,,,0.05,,U
Creature — Salamander,C,{B},1,1,1,,0.06,,B
Creature — Human Knight,R,{1}{W}{W},3,2,2,,1.45,,W
Artifact — Equipment,U,{3},3,,,,0.21,,
Sorcery,U,{2}{R},3,,,,0.07,,R
Creature — Giant,U,{5}{R}{R},7,4,4,,0.07,,R
Instant,C,{G},1,,,,0.12,,G
Basic Land — Forest,C,,0,,,,0.1,,
Instant,C,{2}{W},3,,,,0.02,,W
Instant,C,{2}{U},3,,,,0.04,,U
Creature — Sliver,R,{U},1,1,1,,8.75,,U
Legendary Planeswalker — Garruk,M,{4}{G}{G},6,,,4,3.41,,G
Creature — Beast,R,{5}{G}{G},7,7,7,,0.21,,G
Instant,C,{G},1,,,,0.07,,G
Creature — Spider,C,{3}{G},4,2,4,,0.03,,G
Creature — Elf Scout,C,{G},1,1,1,,0.2,,G
Sorcery,U,{2}{U},3,,,,0.04,,U
Creature — Zombie,U,{1}{B},2,1,3,,0.09,,B
Creature — Goblin,R,{1}{R},2,2,1,,0.31,,R
Creature — Goblin Scout,C,{1}{R},2,2,1,,0.06,,R
Creature — Griffin,C,{2}{W},3,1,3,,0.02,,W
Instant,R,{2}{B},3,,,,0.36,,B
Creature — Sliver,C,{6}{G},7,5,5,,0.16,,G
Artifact Creature — Golem,R,{7},7,7,7,,0.19,,
Artifact — Equipment,R,{4},4,,,,0.13,,
Sorcery,C,{2}{W},3,,,,0.19,,W
Sorcery,U,{6}{G},7,,,,0.17,,G
Sorcery,C,{3}{G},4,,,,0.03,,G
Enchantment — Aura,U,{4}{U},5,,,,0.02,,U
Creature — Human Noble,R,{1}{W},2,2,1,,0.31,,W
Enchantment — Aura,R,{3}{W},4,,,,1.23,,W
Enchantment,R,{3}{G},4,,,,0.41,,G
Basic Land — Island,C,,0,,,,0.11,,
Legendary Planeswalker — Jace,M,{3}{U}{U},5,,,4,7.69,,U
Creature — Fish Illusion,R,{4}{U}{U},6,4,4,,0.24,,U
Creature — Hydra,M,{3}{G}{G},5,0,0,,14.4,,G
Creature — Beast,U,{G}{G},2,3,3,,0.15,,G
Sorcery,C,{4}{R},5,,,,0.04,,R
Sorcery,C,{G},1,,,,0.05,,G
Creature — Zombie Warrior,R,{1}{B}{B},3,3,1,,0.87,,B
Enchantment — Aura,C,{2}{R},3,,,,0.06,,R
Legendary Planeswalker — Liliana,M,{2}{B}{B},4,,,3,15.92,,B
Creature — Zombie,R,{2}{B}{B},4,4,3,,0.33,,B
Sorcery,C,{3}{B}{B},5,,,,0.06,,B
Creature — Sliver,U,{1}{G},2,1,1,,1.34,,G
Creature — Beast,C,{2}{R}{R},4,5,3,,0.02,,R
Enchantment — Aura,C,{3}{B},4,,,,0.04,,B
Creature — Human Scout,C,{2}{W},3,2,2,,0.04,,W
Creature — Sliver,R,{5}{G},6,3,3,,1.27,,G
Creature — Merfolk Rogue,C,{U},1,1,1,,0.08,,U
Creature — Drake,C,{3}{U}{U},5,3,3,,0.03,,U
Artifact,U,{2},2,,,,0.07,,
Sorcery,C,{2}{B},3,,,,0.06,,B
Creature — Elemental,R,{1}{R}{R},3,3,2,,0.12,,R
Creature — Zombie Minotaur,C,{4}{B}{B},6,4,6,,0.03,,B
Sorcery,U,{1}{R}{R},3,,,,0.12,,R
Basic Land — Mountain,C,,0,,,,0.08,,
Land,R,,0,,,,6.96,,
Instant,C,{1}{G},2,,,,0.05,,G
Instant,C,{1}{U},2,,,,0.1,,U
Creature — Bird,C,{3}{U},4,2,3,,0.02,,U
Creature — Nightmare Horse,R,{5}{B},6,*,*,,0.15,,B
Creature — Shade,C,{4}{B},5,2,2,,0.03,,B
Enchantment,R,{2}{G},3,,,,0.24,,G
Creature — Ogre Warrior,R,{2}{R}{R},4,3,3,,0.66,,R
Instant,U,{4}{U}{U},6,,,,0.09,,U
Enchantment — Aura,C,{1}{W},2,,,,0.02,,W
Enchantment,R,{2}{W},3,,,,0.23,,W
Instant,C,{W},1,,,,0.04,,W
Creature — Illusion Warrior,U,{1}{U}{U},3,2,2,,0.07,,U
Creature — Ox,C,{3}{W},4,2,4,,0.02,,W
Creature — Devil,C,{4}{R},5,3,3,,0.06,,R
Basic Land — Plains,C,,0,,,,0.11,,
Sorcery,R,{3}{W}{W}{W},6,,,,0.21,,W
Instant,C,{1}{G},2,,,,0.04,,G
Creature — Sliver,C,{1}{G},2,1,1,,0.26,,G
Enchantment,M,{5}{G},6,,,,1.04,,G
Artifact,R,{5},5,,,,0.28,,
Enchantment — Aura,C,{2}{B},3,,,,0.04,,B
Instant,R,{U},1,,,,0.53,,U
Instant,C,{G},1,,,,0.06,,G
Artifact,R,{2},2,,,,0.62,,
Creature — Elemental Cat,C,{2}{R},3,4,1,,0.05,,R
Artifact,M,{5},5,,,,6.01,,
Sorcery,M,{7}{B}{B},9,,,,14.44,,B
Artifact,U,{4},4,,,,0.02,,
Creature — Lizard,C,{2}{G},3,2,2,,0.06,,G
Creature — Beast,C,{2}{G}{G},4,4,4,,0.04,,G
Enchantment,R,{3}{B}{B},5,,,,2.67,,B
Instant,R,{G},1,,,,0.67,,G
Creature — Ooze,R,{1}{G},2,2,2,,0.37,,G
Creature — Dragon,M,{2}{R}{R}{R},5,4,4,,2.24,,R
Creature — Merfolk Rogue,C,{2}{U},3,1,3,,0.05,,U
Creature — Drake,C,{1}{U},2,1,3,,0.05,,U
Sorcery,C,{1}{R},2,,,,0.04,,R
Creature — Vampire,U,{3}{B}{B},5,4,4,,0.07,,B
Enchantment — Aura,C,{U},1,,,,0.03,,U
Creature — Sliver,C,{1}{W},2,2,2,,0.41,,W
Creature — Angel,R,{3}{W},4,3,3,,0.4,,W
Creature — Angel,U,{3}{W}{W},5,4,4,,0.09,,W
Creature — Human Cleric,C,{B},1,1,1,,1.99,,B
Creature — Demon,M,{3}{B}{B},5,5,6,,1.26,,B
Land,U,,0,,,,0.11,,
Creature — Dragon,R,{4}{R}{R},6,5,5,,0.11,,R
Enchantment — Aura,U,{2}{R}{R},4,,,,0.07,,R
Instant,C,{R},1,,,,0.05,,R
Instant,C,{1}{W},2,,,,0.03,,W
Sorcery,C,{1}{B},2,,,,0.06,,B
Creature — Elephant,C,{4}{W},5,3,5,,0.04,,W
Instant,R,{W},1,,,,6.03,,W
Artifact Creature — Sliver Construct,C,{3},3,2,2,,0.24,,
Instant,C,{R},1,,,,0.05,,R
Sorcery,C,{2}{W},3,,,,0.04,,W
Creature — Human Cleric,C,{W},1,1,1,,0.07,,W
Instant,U,{X}{U},1,,,,0.05,,U
Creature — Fungus,C,{3}{G}{G},5,3,3,,0.16,,G
Artifact,U,{3},3,,,,0.18,,
Artifact,U,{3},3,,,,0.08,,
Artifact,U,{3},3,,,,0.12,,
Artifact,U,{3},3,,,,0.14,,
Artifact,U,{3},3,,,,0.11,,
Creature — Sliver,U,{2}{W},3,2,2,,0.17,,W
Creature — Rhino Cleric,U,{5}{W},6,4,4,,0.04,,W
Creature — Sliver,C,{R},1,1,1,,0.27,,R
Artifact,R,{2},2,,,,3.72,,
Creature — Bird,C,{W},1,1,1,,0.05,,W
Basic Land — Swamp,C,,0,,,,0.1,,
Creature — Sliver,R,{2}{B},3,2,2,,7.78,,B
Creature — Skeleton Warrior,U,{B},1,1,1,,0.11,,B
Creature — Sliver,R,{4}{R},5,2,2,,2.17,,R
Instant,C,{1}{R},2,,,,0.02,,R
Creature — Merfolk Wizard,R,{U}{U},2,2,2,,0.26,,U
Sorcery,C,{2}{U},3,,,,0.06,,U
Sorcery,C,{U},1,,,,0.16,,U
Artifact,R,{4},4,,,,0.6,,
Creature — Bird,C,{2}{U},3,2,1,,0.05,,U
Sorcery,R,{3}{U}{U},5,,,,3.2,,U
Enchantment — Aura,C,{2}{G},3,,,,0.08,,G
Creature — Zombie Minotaur,C,{2}{B},3,2,3,,0.04,,B
Creature — Vampire Warrior,U,{4}{B},5,4,2,,0.09,,B
Creature — Hydra,R,{X}{G}{G},2,0,0,,0.47,,G
Enchantment — Aura,C,{2}{G},3,,,,0.05,,G
Artifact,U,{1},1,,,,0.08,,
Instant,C,{B},1,,,,0.05,,B
Instant,U,{X}{R}{R},2,,,,0.03,,R
Creature — Wurm,U,{1}{G},2,2,2,,0.11,,G
Creature — Wall,U,{1}{U}{U},3,0,7,,0.16,,U
Creature — Wall,U,{3}{W},4,3,5,,0.1,,W
Creature — Bird Wizard,U,{2}{U},3,2,2,,0.09,,U
Creature — Elemental,U,{2}{U}{U},4,3,4,,0.02,,U
Sorcery,C,{R}{R},2,,,,0.19,,R
Instant,R,{2}{R}{R},4,,,,0.21,,R
Creature — Sphinx,M,{5}{U}{U},7,3,7,,0.27,,U
Instant,U,{X}{G},1,,,,0.07,,G
Creature — Wolf,R,{1}{G}{G},3,3,3,,0.31,,G
Creature — Elemental,U,{3}{G}{G},5,4,4,,0.04,,G
Instant,C,{B},1,,,,0.02,,B
